BANYULE,abduction,12,8,6,17,11
BAYSIDE,abduction,3,2,1,4,9
BOROONDARA,abduction,13,8,14,8,4
BRIMBANK,abduction,26,44,31,19,18
CARDINIA,abduction,8,8,7,19,21
CASEY,abduction,24,39,45,29,36
DAREBIN,abduction,15,20,29,23,20
FRANKSTON,abduction,36,15,15,21,25
GLEN EIRA,abduction,10,5,4,3,9
GREATER DANDENONG,abduction,29,31,34,37,33
HOBSONS BAY,abduction,8,12,9,8,10
HUME,abduction,37,42,47,30,49
KINGSTON,abduction,10,10,16,6,16
KNOX,abduction,18,12,15,14,13
MANNINGHAM,abduction,3,6,2,3,8
MARIBYRNONG,abduction,6,16,24,9,18
MAROONDAH,abduction,1,7,6,15,15
MELBOURNE,abduction,31,34,17,49,58
MELTON,abduction,23,15,16,23,15
MONASH,abduction,10,6,18,12,14
MOONEE VALLEY,abduction,4,9,5,13,10
MORELAND,abduction,28,36,20,21,24
MORNINGTON PENINSULA,abduction,4,9,7,20,19
NILLUMBIK,abduction,3,6,1,2,4
PORT PHILLIP,abduction,10,18,10,22,17
STONNINGTON,abduction,9,4,9,10,9
WHITEHORSE,abduction,9,8,9,11,11
WHITTLESEA,abduction,16,32,27,17,24
WYNDHAM,abduction,21,27,21,19,26
YARRA,abduction,10,9,15,11,14
YARRA RANGES,abduction,3,6,9,11,11
BANYULE,sexual,132,129,198,296,194
BAYSIDE,sexual,57,63,99,161,96
BOROONDARA,sexual,137,125,177,91,159
BRIMBANK,sexual,257,235,389,256,216
CARDINIA,sexual,177,88,109,183,193
CASEY,sexual,346,360,417,554,529
DAREBIN,sexual,192,218,323,217,227
FRANKSTON,sexual,363,342,280,295,405
GLEN EIRA,sexual,105,106,91,117,151
GREATER DANDENONG,sexual,346,337,441,418,394
HOBSONS BAY,sexual,114,86,86,172,96
HUME,sexual,294,289,309,399,399
KINGSTON,sexual,318,245,279,259,354
KNOX,sexual,230,231,243,332,315
MANNINGHAM,sexual,95,123,59,104,130
MARIBYRNONG,sexual,165,150,125,129,107
MAROONDAH,sexual,162,122,132,167,206
MELBOURNE,sexual,300,365,451,482,424
MELTON,sexual,105,172,176,195,174
MONASH,sexual,170,199,240,176,279
MOONEE VALLEY,sexual,99,92,130,129,140
MORELAND,sexual,190,236,206,239,289
MORNINGTON PENINSULA,sexual,178,271,227,195,201
NILLUMBIK,sexual,135,59,54,103,62
PORT PHILLIP,sexual,199,186,125,220,236
STONNINGTON,sexual,127,146,128,135,165
WHITEHORSE,sexual,181,168,195,230,248
WHITTLESEA,sexual,165,137,225,197,278
WYNDHAM,sexual,204,173,256,203,201
YARRA,sexual,117,116,106,204,139
YARRA RANGES,sexual,170,233,266,211,299
BANYULE,crime,0.07,0.07,0.10,0.08,0.10
BAYSIDE,crime,0.04,0.04,0.04,0.04,0.05
BOROONDARA,crime,0.06,0.07,0.07,0.07,0.08
BRIMBANK,crime,0.17,0.19,0.20,0.17,0.19
CARDINIA,crime,0.04,0.05,0.06,0.06,0.08
CASEY,crime,0.15,0.15,0.16,0.18,0.22
DAREBIN,crime,0.11,0.11,0.13,0.14,0.15
FRANKSTON,crime,0.12,0.13,0.15,0.14,0.15
GLEN EIRA,crime,0.05,0.05,0.06,0.05,0.07
GREATER DANDENONG,crime,0.14,0.15,0.16,0.16,0.21
HOBSONS BAY,crime,0.06,0.07,0.07,0.07,0.07
HUME,crime,0.14,0.15,0.16,0.18,0.22
KINGSTON,crime,0.09,0.09,0.10,0.10,0.11
KNOX,crime,0.08,0.09,0.10,0.10,0.10
MANNINGHAM,crime,0.04,0.04,0.04,0.04,0.04
MARIBYRNONG,crime,0.09,0.09,0.09,0.08,0.09
MAROONDAH,crime,0.06,0.06,0.07,0.07,0.08
MELBOURNE,crime,0.31,0.34,0.33,0.33,0.34
MELTON,crime,0.08,0.09,0.10,0.10,0.12
MONASH,crime,0.08,0.09,0.09,0.10,0.12
MOONEE VALLEY,crime,0.07,0.08,0.08,0.09,0.09
MORELAND,crime,0.11,0.12,0.13,0.13,0.14
MORNINGTON PENINSULA,crime,0.09,0.09,0.10,0.10,0.11
NILLUMBIK,crime,0.02,0.02,0.02,0.02,0.03
PORT PHILLIP,crime,0.11,0.11,0.11,0.12,0.13
STONNINGTON,crime,0.09,0.09,0.09,0.10,0.10
WHITEHORSE,crime,0.06,0.07,0.07,0.08,0.08
WHITTLESEA,crime,0.11,0.12,0.14,0.14,0.15
WYNDHAM,crime,0.12,0.13,0.13,0.13,0.15
YARRA,crime,0.11,0.10,0.12,0.13,0.13
YARRA RANGES,crime,0.06,0.06,0.07,0.07,0.08
BANYULE,bully,0.12,0.10,0.09,0.09,0.08
BAYSIDE,bully,0.14,0.12,0.11,0.12,0.11
BOROONDARA,bully,0.12,0.12,0.12,0.14,0.11
BRIMBANK,bully,0.18,0.15,0.14,0.15,0.11
CARDINIA,bully,0.16,0.13,0.15,0.11,0.15
CASEY,bully,0.18,0.15,0.15,0.15,0.15
DAREBIN,bully,0.12,0.13,0.14,0.14,0.12
FRANKSTON,bully,0.18,0.14,0.14,0.14,0.17
GLEN EIRA,bully,0.12,0.11,0.14,0.14,0.12
GREATER DANDENONG,bully,0.13,0.13,0.12,0.11,0.11
HOBSONS BAY,bully,0.16,0.17,0.16,0.14,0.13
HUME,bully,0.18,0.16,0.18,0.19,0.14
KINGSTON,bully,0.13,0.11,0.11,0.12,0.11
KNOX,bully,0.14,0.12,0.14,0.15,0.16
MANNINGHAM,bully,0.13,0.13,0.13,0.11,0.11
MARIBYRNONG,bully,0.15,0.11,0.09,0.09,0.11
MAROONDAH,bully,0.14,0.13,0.13,0.14,0.11
MELBOURNE,bully,0.15,0.10,0.09,0.08,0.06
MELTON,bully,0.15,0.19,0.16,0.18,0.16
MONASH,bully,0.12,0.13,0.13,0.14,0.12
MOONEE VALLEY,bully,0.15,0.12,0.13,0.14,0.10
MORELAND,bully,0.16,0.17,0.14,0.18,0.15
MORNINGTON PENINSULA,bully,0.18,0.18,0.14,0.15,0.15
NILLUMBIK,bully,0.14,0.11,0.13,0.13,0.11
PORT PHILLIP,bully,0.15,0.15,0.15,0.13,0.14
STONNINGTON,bully,0.19,0.14,0.14,0.15,0.09
WHITEHORSE,bully,0.13,0.10,0.11,0.09,0.10
WHITTLESEA,bully,0.16,0.17,0.16,0.16,0.14
WYNDHAM,bully,0.20,0.19,0.21,0.20,0.18
YARRA,bully,0.14,0.14,0.18,0.12,0.12
YARRA RANGES,bully,0.18,0.15,0.15,0.16,0.16
